,Rank,Released,Movie,Total Box Office,url
102,181,2013,Man of Steel,"$326,128,489",https://www.the-numbers.com/movie/Man-of-Steel#tab=summary
103,182,2006,X-Men: The Last Stand,"$325,960,610",https://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary
104,184,2001,The Mummy Returns,"$325,139,498",https://www.the-numbers.com/movie/Mummy-Returns-The#tab=summary
105,185,2003,X-Men 2,"$324,741,574",https://www.the-numbers.com/movie/X-Men-2-(2003)#tab=summary
106,186,2018,Deadpool 2,"$324,591,735",https://www.the-numbers.com/movie/Deadpool-2#tab=summary
107,187,2011,"The Twilight Saga: Breaking Dawn, Part 1","$323,118,299",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-1-The#tab=summary
108,191,2017,Thor: Ragnarok,"$319,915,752",https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
109,192,2001,Pearl Harbor,"$319,557,956",https://www.the-numbers.com/movie/Pearl-Harbor#tab=summary
110,196,2019,Jumanji: The Next Level,"$316,831,246",https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary
111,198,2009,Star Trek,"$313,056,067",https://www.the-numbers.com/movie/Star-Trek#tab=summary
112,205,2005,King Kong,"$308,433,052",https://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary
113,206,2009,The Blind Side,"$308,054,513",https://www.the-numbers.com/movie/Blind-Side-The#tab=summary
114,208,2013,Gravity,"$307,030,823",https://www.the-numbers.com/movie/Gravity#tab=summary
115,211,2015,The Hunger Games: Mockingjay - Part 2,"$304,241,751",https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary
116,213,2006,The Da Vinci Code,"$302,557,895",https://www.the-numbers.com/movie/Da-Vinci-Code-The#tab=summary
117,215,2007,The Bourne Ultimatum,"$301,200,787",https://www.the-numbers.com/movie/Bourne-Ultimatum-The#tab=summary
118,216,2013,Monsters University,"$300,852,229",https://www.the-numbers.com/movie/Monsters-University#tab=summary
119,217,2012,The Amazing Spider-Man,"$299,886,852",https://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary
120,218,2002,Men in Black 2,"$298,574,055",https://www.the-numbers.com/movie/Men-in-Black-2#tab=summary
121,221,2005,Wedding Crashers,"$297,344,661",https://www.the-numbers.com/movie/Wedding-Crashers#tab=summary
122,223,2005,Batman Begins,"$293,982,160",https://www.the-numbers.com/movie/Batman-Begins#tab=summary
123,224,2001,Ocean's Eleven,"$293,910,473",https://www.the-numbers.com/movie/Oceans-Eleven#tab=box-office
124,227,2005,Charlie and the Chocolate Factory,"$293,423,115",https://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory#tab=summary
125,229,2011,The Hangover Part II,"$292,329,105",https://www.the-numbers.com/movie/Hangover-Part-II-The#tab=summary
126,231,2001,Jurassic Park III,"$291,594,219",https://www.the-numbers.com/movie/Jurassic-Park-3#tab=summary
127,233,2010,Despicable Me,"$290,402,804",https://www.the-numbers.com/movie/Despicable-Me#tab=summary
128,235,2001,Planet of the Apes,"$289,729,129",https://www.the-numbers.com/movie/Planet-of-the-Apes-(2001)#tab=summary
129,236,2014,Captain America: The Winter Soldier,"$289,632,162",https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
130,237,2008,Hancock,"$289,218,732",https://www.the-numbers.com/movie/Hancock#tab=summary
131,238,2013,The Hobbit: The Desolation of Smaug,"$289,209,476",https://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary
132,239,2007,National Treasure: Book of Secrets,"$288,541,176",https://www.the-numbers.com/movie/National-Treasure-Book-of-Secrets#tab=summary
