,Rank,Released,Movie,Total Box Office,url
188,361,2001,American Pie 2,"$233,539,223",https://www.the-numbers.com/movie/American-Pie-2#tab=summary
189,363,2001,The Fast and the Furious,"$232,598,433",https://www.the-numbers.com/movie/Fast-and-the-Furious-The#tab=summary
190,364,2017,Justice League,"$232,544,520",https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
191,365,2014,Dawn of the Planet of the Apes,"$232,539,810",https://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary
192,366,2006,Casino Royale,"$231,864,714",https://www.the-numbers.com/movie/Casino-Royale-(2006)#tab=summary
193,367,2010,Tangled,"$231,682,049",https://www.the-numbers.com/movie/Tangled#tab=summary
194,370,2013,Thor: The Dark World,"$231,221,293",https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary
195,372,2017,Logan,"$229,808,705",https://www.the-numbers.com/movie/Logan-(2017)#tab=summary
196,373,2017,The Fate of the Furious,"$229,288,406",https://www.the-numbers.com/movie/Fate-of-the-Furious-The#tab=summary
197,374,2002,Lilo & Stitch,"$228,567,741",https://www.the-numbers.com/movie/Lilo-and-Stitch#tab=summary
198,375,2008,Madagascar: Escape 2 Africa,"$228,435,327",https://www.the-numbers.com/movie/Madagascar-Escape-2-Africa#tab=summary
199,379,2003,Terminator 3: Rise of the Machines,"$227,158,214",https://www.the-numbers.com/movie/Terminator-3-Rise-of-the-Machines#tab=summary
200,383,2013,World War Z,"$226,752,391",https://www.the-numbers.com/movie/World-War-Z#tab=summary
201,385,2014,The Amazing Spider-Man 2,"$226,193,301",https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary
202,387,2005,The Longest Yard,"$224,722,036",https://www.the-numbers.com/movie/Longest-Yard-The-(2005)#tab=summary
203,393,2014,Godzilla,"$223,764,867",https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary
204,395,2007,Wild Hogs,"$222,736,293",https://www.the-numbers.com/movie/Wild-Hogs#tab=summary
205,397,2002,xXx,"$222,544,282",https://www.the-numbers.com/movie/xXx#tab=summary
206,400,2006,The Pursuit of Happyness,"$221,849,918",https://www.the-numbers.com/movie/Pursuit-of-Happyness-The#tab=summary
207,401,2018,Mission: Impossible—Fallout,"$220,159,104",https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary
208,403,2011,Cars 2,"$219,939,150",https://www.the-numbers.com/movie/Cars-2#tab=summary
209,404,2005,Fantastic Four,"$219,856,668",https://www.the-numbers.com/movie/Fantastic-Four-(2005)#tab=summary
210,408,2009,X-Men Origins: Wolverine,"$218,498,075",https://www.the-numbers.com/movie/X-Men-Origins-Wolverine#tab=summary
211,409,2002,The Santa Clause 2,"$218,249,983",https://www.the-numbers.com/movie/Santa-Clause-2-The#tab=summary
212,410,2015,Cinderella,"$217,377,081",https://www.the-numbers.com/movie/Cinderella-(2015)#tab=summary
213,413,2018,Ant-Man and the Wasp,"$216,648,740",https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary
214,414,2012,Wreck-It Ralph,"$216,516,450",https://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary
215,415,2018,Bohemian Rhapsody,"$216,303,340",https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=summary
216,416,2015,Spectre,"$216,131,343",https://www.the-numbers.com/movie/Spectre#tab=summary
217,419,2006,Over the Hedge,"$215,607,044",https://www.the-numbers.com/movie/Over-the-Hedge#tab=summary
218,420,2009,Night at the Museum: Battle of the Smithsonian,"$215,292,039",https://www.the-numbers.com/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary
219,421,2018,A Star is Born,"$215,288,866",https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=summary
220,424,2008,Quantum of Solace,"$214,757,090",https://www.the-numbers.com/movie/Quantum-of-Solace#tab=summary
221,426,2011,Sherlock Holmes: A Game of Shadows,"$214,435,626",https://www.the-numbers.com/movie/Sherlock-Holmes-A-Game-of-Shadows#tab=summary
222,427,2014,22 Jump Street,"$213,777,619",https://www.the-numbers.com/movie/22-Jump-Street#tab=summary
223,428,2018,Solo: A Star Wars Story,"$213,767,512",https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary
224,429,2018,Venom,"$213,511,408",https://www.the-numbers.com/movie/Venom-(2018)#tab=summary
225,430,2014,Teenage Mutant Ninja Turtles,"$213,203,826",https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary
226,432,2017,Coco,"$212,532,784",https://www.the-numbers.com/movie/Coco-(2017)#tab=summary
227,433,2004,"I, Robot","$212,421,468",https://www.the-numbers.com/movie/I-Robot#tab=summary
228,436,2019,It: Chapter Two,"$211,593,228",https://www.the-numbers.com/movie/It-Chapter-Two-(2019)#tab=summary
229,438,2001,Lara Croft: Tomb Raider,"$211,081,889",https://www.the-numbers.com/movie/Lara-Croft-Tomb-Raider#tab=summary
230,439,2015,Mission: Impossible—Rogue Nation,"$210,775,328",https://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary
231,440,2003,The Matrix Revolutions,"$210,364,859",https://www.the-numbers.com/movie/Matrix-Revolutions-The#tab=summary
232,442,2013,The Croods,"$209,729,928",https://www.the-numbers.com/movie/Croods-The#tab=summary
233,443,2014,Interstellar,"$209,470,922",https://www.the-numbers.com/movie/Interstellar#tab=summary
234,445,2003,Bad Boys II,"$209,304,691",https://www.the-numbers.com/movie/Bad-Boys-II#tab=summary
235,455,2011,Thor,"$207,968,346",https://www.the-numbers.com/movie/Thor#tab=summary
236,456,2012,Lincoln,"$207,619,742",https://www.the-numbers.com/movie/Lincoln#tab=summary
237,461,2003,Cheaper by the Dozen,"$207,095,325",https://www.the-numbers.com/movie/Cheaper-by-the-Dozen#tab=summary
238,463,2002,Minority Report,"$207,012,925",https://www.the-numbers.com/movie/Minority-Report#tab=summary
239,465,2006,Talladega Nights: The Ballad of Ricky Bobby,"$206,141,044",https://www.the-numbers.com/movie/Talladega-Nights-The-Ballad-of-Ricky-Bobby#tab=summary
240,467,2012,Men in Black 3,"$204,884,419",https://www.the-numbers.com/movie/Men-in-Black-3#tab=summary
241,468,2003,Anger Management,"$204,802,675",https://www.the-numbers.com/movie/Anger-Management#tab=summary
242,469,2020,Bad Boys For Life,"$204,417,855",https://www.the-numbers.com/movie/Bad-Boys-For-Life-(Bad-Boys-3)-(2020)#tab=summary
243,471,2010,The Karate Kid,"$203,897,296",https://www.the-numbers.com/movie/Karate-Kid-The-(2009)#tab=summary
244,473,2011,Rise of the Planet of the Apes,"$203,062,456",https://www.the-numbers.com/movie/Rise-of-the-Planet-of-the-Apes#tab=summary
245,474,2011,Captain America: The First Avenger,"$202,941,056",https://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary
246,475,2002,The Ring,"$202,311,026",https://www.the-numbers.com/movie/Ring-The#tab=summary
247,476,2009,2012,"$201,610,604",https://www.the-numbers.com/movie/2012#tab=summary
248,477,2018,Ralph Breaks The Internet,"$201,091,711",https://www.the-numbers.com/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary
249,480,2003,Bringing Down the House,"$200,443,267",https://www.the-numbers.com/movie/Bringing-Down-the-House#tab=summary
250,483,2003,Hulk,"$199,690,644",https://www.the-numbers.com/movie/Hulk#tab=summary
251,485,2002,Sweet Home Alabama,"$199,405,419",https://www.the-numbers.com/movie/Sweet-Home-Alabama#tab=summary
252,486,2015,Pitch Perfect 2,"$199,162,355",https://www.the-numbers.com/movie/Pitch-Perfect-2#tab=summary
253,487,2009,The Proposal,"$199,154,357",https://www.the-numbers.com/movie/Proposal-The#tab=summary
254,489,2010,Tron: Legacy,"$198,430,777",https://www.the-numbers.com/movie/Tron-Legacy#tab=summary
255,490,2002,Mr. Deeds,"$198,026,393",https://www.the-numbers.com/movie/Mr-Deeds#tab=summary
256,492,2014,How to Train Your Dragon 2,"$197,368,004",https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary
257,493,2010,True Grit,"$197,229,086",https://www.the-numbers.com/movie/True-Grit-(2010)#tab=summary
258,495,2007,Knocked Up,"$196,979,599",https://www.the-numbers.com/movie/Knocked-Up#tab=summary
259,498,2008,Horton Hears a Who,"$196,067,297",https://www.the-numbers.com/movie/Horton-Hears-a-Who#tab=summary
260,500,2004,Troy,"$195,547,507",https://www.the-numbers.com/movie/Troy#tab=summary
